n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
O	HD183324  	A0V         	10300	    	 4.17	     	-1.22	     	2 	HD183324  	292.25412	+01.95045
 	HD184266  	F2V         	 6014	  53	 3.72	 0.10	-1.03	 0.10	0 	HD184266  	293.56411	-16.31673
O	HD184406  	K3IIIb      	 4428	  19	 2.83	 0.08	 0.04	 0.05	0 	HD184406  	293.52230	+07.37894
 	HD184499  	G0V         	 5762	  34	 4.13	 0.07	-0.54	 0.06	0 	HD184499  	293.36284	+33.20186
 	HD184875  	A2V         	 8933	  83	 4.06	 0.05	-0.24	 0.06	0 	HD184875  	293.67191	+42.41251
 	HD184915  	B0.5III     	25817	1967	 3.40	 0.11	-0.16	 0.12	0 	HD184915  	294.22271	-07.02748
 	HD184930  	B5III       	14431	 229	 3.72	 0.07	 0.09	 0.07	0 	HD184930  	294.18032	-01.28660
 	HD185351  	G9IIIbCN... 	 5062	  25	 3.34	 0.06	 0.06	 0.05	0 	HD185351  	294.15824	+44.69494
 	HD185423  	B3III       	19169	 513	 3.52	 0.10	 0.05	 0.06	0 	HD185423  	294.70413	+03.38152
 	HD185644  	K1III       	 4623	  22	 2.66	 0.07	 0.03	 0.05	0 	HD185644  	295.18076	-16.29327
 	HD185657  	G6V         	 4887	  23	 2.66	 0.07	-0.16	 0.05	0 	HD185657  	294.48631	+49.28442
 	HD185859  	B0.5Iae     	27238	1708	 3.36	 0.09	-0.04	 0.06	0 	HD185859  	295.11802	+20.47707
 	HD186307  	A6V         	 7962	  63	 4.12	 0.05	-0.20	 0.07	0 	HD186307  	295.49007	+40.25414
 	HD186377  	A5III       	 8677	  70	 2.71	 0.06	-0.20	 0.06	0 	HD186377  	295.68586	+32.42674
 	HD186408  	G1.5Vb      	 5750	  81	 4.04	 0.20	 0.04	 0.13	0 	HD186408  	295.45397	+50.52506
 	HD186486  	G8III       	 5077	  26	 2.72	 0.07	 0.02	 0.06	0 	HD186486  	295.92885	+25.77193
 	HD186619  	M0III       	 3829	   8	 1.65	 0.10	 0.00	 0.04	0 	HD186619  	295.93790	+41.77311
 	HD186648  	K0III       	 4775	  25	 2.58	 0.08	-0.07	 0.06	0 	HD186648  	296.59058	-19.76111
 	HD186675  	G7III       	 5042	  26	 2.64	 0.07	-0.03	 0.06	0 	HD186675  	296.06919	+37.35435
 	HD187013  	F7V         	 6336	  28	 4.11	 0.04	-0.08	 0.04	0 	HD187013  	296.60667	+33.72760
 	HD187111  	G8wvar...   	 4453	  24	 1.03	 0.09	-1.69	 0.07	0 	HD187111  	297.16489	-12.12215
 	HD187340  	A2III       	 8579	  76	 3.25	 0.09	-0.05	 0.06	0 	HD187340  	296.07673	+69.33706
 	HD187428  	F8Ib-II     	 5904	  57	 2.13	 0.14	 0.05	 0.12	0 	HD187428  	297.29845	+19.79483
 	HD187459  	B0.5Ibe...  	26556	1934	 3.30	 0.10	-0.02	 0.09	0 	HD187459  	297.21082	+33.43728
 	HD187691  	F8V         	 6069	  30	 4.12	 0.05	 0.10	 0.04	0 	HD187691  	297.75684	+10.41573
 	HD187796  	S...        	 3148	  36	 0.49	 0.64	-1.00	 0.00	0 	HD187796  	297.64134	+32.91406
 	HD187811  	B2.5Ve      	18859	 772	 3.36	 0.14	-0.01	 0.10	0 	HD187811  	297.76712	+22.61005
 	HD187929  	F6Iab:      	 6169	  43	 1.43	 0.08	 0.13	 0.08	0 	HD187929  	298.11820	+01.00566
 	HD187961  	B7V         	11710	 315	 2.37	 0.08	-0.11	 0.17	0 	HD187961  	298.06492	+10.35159
 	HD187983  	A1Ia        	10092	 123	 1.66	 0.04	 0.19	 0.09	0 	HD187983  	298.00664	+24.99216
 	HD188001  	O8e         	36490	1025	 3.21	 0.05	-0.11	 0.08	0 	HD188001  	298.09069	+18.67187
 	HD188119  	G8III       	 4939	  28	 2.43	 0.08	-0.48	 0.07	0 	HD188119  	297.04313	+70.26793
 	HD188209  	O9.5Ib      	31910	1374	 3.36	 0.08	 0.00	 0.06	0 	HD188209  	297.99612	+47.02734
 	HD188260  	B9.5III     	10363	 166	 4.01	 0.06	-0.11	 0.08	0 	HD188260  	298.36540	+24.07961
 	HD188310  	G9IIIb      	 4703	  23	 2.54	 0.08	-0.24	 0.05	0 	HD188310  	298.56201	+08.46145
 	HD188350  	A0III       	10115	 158	 3.88	 0.08	-0.23	 0.10	0 	HD188350  	298.68665	+00.27363
 	HD188485  	A0III       	10124	 186	 3.93	 0.08	-0.28	 0.11	0 	HD188485  	298.62948	+24.31939
 	HD188728  	A1IV        	 9177	 176	 3.67	 0.16	 0.01	 0.11	0 	HD188728  	299.05938	+11.42372
 	HD188947  	K0III       	 4863	  24	 2.71	 0.07	 0.04	 0.05	0 	HD188947  	299.07655	+35.08342
 	HD189319  	M0III       	 3913	   9	 1.63	 0.10	 0.13	 0.03	0 	HD189319  	299.68928	+19.49215
 	HD189558  	G0/G1V      	 5702	  37	 3.87	 0.08	-1.08	 0.08	0 	HD189558  	300.25102	-12.25565
 	HD189944  	B4V         	15639	 305	 3.69	 0.07	 0.03	 0.06	0 	HD189944  	300.43630	+24.80042
 	HD190004  	F2III       	 6944	  46	 3.80	 0.06	 0.27	 0.05	0 	HD190004  	300.50597	+24.93804
 	HD190172  	F4III       	 7032	  42	 4.04	 0.05	 0.05	 0.05	0 	HD190172  	301.00501	-07.46947
 	HD190390  	F1III       	 6786	  71	 3.93	 0.08	-0.63	 0.11	0 	HD190390  	301.27256	-11.59941
 	HD190608  	K2III       	 4722	  22	 2.96	 0.07	 0.00	 0.05	0 	HD190608  	301.28956	+19.99107
 	HD190993  	B3V         	17316	 407	 3.85	 0.10	-0.14	 0.09	0 	HD190993  	301.72253	+23.61443
 	HD191026  	K0IV        	 5186	  26	 3.84	 0.06	 0.05	 0.05	0 	HD191026  	301.59070	+35.97247
 	HD191046  	K0III       	 4468	  24	 1.79	 0.10	-0.67	 0.07	0 	HD191046  	301.62079	+36.22664
 	HD191243  	B5Ib        	16697	 547	 2.86	 0.09	-0.02	 0.08	0 	HD191243  	301.92267	+34.42291
 	HD191277  	K3III       	 4444	  21	 2.85	 0.08	 0.15	 0.05	0 	HD191277  	301.38700	+61.99542
 	HD191372  	M3IIIa      	 3566	   6	 1.02	 0.12	-0.02	 0.04	0 	HD191372  	301.22247	+68.02716
 	HD191610  	B2.5Ve      	19332	1371	 3.25	 0.20	-0.09	 0.17	0 	HD191610  	302.35675	+36.83962
 	HD191615  	G8IV        	 4764	  24	 2.54	 0.08	-0.35	 0.06	0 	HD191615  	302.48912	+25.53656
 	HD191639  	B1V         	20368	1297	 2.82	 0.10	-0.39	 0.19	0 	HD191639  	302.79199	-08.84234
 	HD192276  	B7V         	12601	 249	 4.08	 0.08	 0.14	 0.10	0 	HD192276  	303.01561	+47.73704
 	HD192425  	A2V         	 8804	  95	 4.07	 0.07	-0.48	 0.10	0 	HD192425  	303.56925	+15.19761
 	HD192685  	B3V         	18754	 735	 3.49	 0.15	-0.10	 0.12	0 	HD192685  	303.81623	+25.59196
 	HD192944  	G8III       	 5045	  27	 2.55	 0.07	-0.05	 0.06	0 	HD192944  	304.19619	+24.67110
 	HD193322  	O9V         	35940	1068	 3.85	 0.08	 0.06	 0.07	0 	HD193322  	304.52912	+40.73208
 	HD193432  	B9IV        	10069	 165	 3.82	 0.08	-0.15	 0.08	0 	HD193432  	305.16590	-12.75908
 	HD193536  	B2V         	19796	 787	 3.72	 0.15	 0.02	 0.10	0 	HD193536  	304.70695	+46.32219
 	HD193621  	A0III       	 9587	 336	 2.94	 0.14	-0.52	 0.29	0 	HD193621  	304.95134	+37.13251
 	HD194013  	G8III-IV    	 4958	  27	 2.72	 0.07	-0.06	 0.06	0 	HD194013  	305.79456	+05.34299
O	HD194093  	F8Iab:      	 6360	  16	 0.91	 0.02	 0.18	 0.02	1 	HD194093  	305.55709	+40.25668
 	HD194960  	K0III       	 4797	  77	 2.58	 0.24	-0.15	 0.18	0 	HD194960  	307.25289	-17.87541
 	HD195135  	K2III       	 4604	  24	 2.67	 0.08	 0.16	 0.05	0 	HD195135  	307.41250	-02.88553
 	HD195324  	A1Ib        	 9997	 121	 1.89	 0.04	-0.06	 0.09	0 	HD195324  	307.33496	+36.45473
 	HD195506  	K2III       	 4418	  20	 2.57	 0.09	-0.32	 0.05	0 	HD195506  	307.49976	+45.92856
O	HD195633  	G0Vw        	 6102	  40	 4.10	 0.07	-0.55	 0.07	0 	HD195633  	308.09997	+06.51757
 	HD195725  	A7III       	 7702	  62	 3.66	 0.07	 0.27	 0.06	0 	HD195725  	307.39535	+62.99410
 	HD195810  	B6III       	14355	 321	 3.71	 0.09	 0.08	 0.10	0 	HD195810  	308.30321	+11.30326
 	HD196504  	B9V         	10791	 244	 3.89	 0.14	-0.27	 0.15	0 	HD196504  	309.26947	+26.46195
 	HD196610  	M6III       	 3100	  14	 0.39	 0.29	-1.00	 0.00	0 	HD196610  	309.47804	+18.26858
 	HD196740  	B5IV        	15427	 282	 3.77	 0.14	 0.02	 0.11	0 	HD196740  	309.63298	+24.11596
 	HD196758  	K1III       	 4804	  27	 2.63	 0.08	 0.06	 0.06	0 	HD196758  	309.85371	+00.48644
 	HD196777  	M1III       	 3629	   7	 1.12	 0.14	-0.08	 0.05	0 	HD196777  	310.01227	-18.13866
 	HD196787  	G9III       	 4949	  29	 2.51	 0.08	 0.05	 0.07	0 	HD196787  	307.06078	+81.42271
 	HD196867  	B9IV        	10705	 173	 4.05	 0.06	-0.06	 0.10	0 	HD196867  	309.90953	+15.91207
 	HD197812  	M5Iab:      	 3119	  13	 0.32	 0.24	-1.00	 0.00	0 	HD197812  	311.36765	+18.09003
 	HD197912  	G9.5III     	 4774	  25	 2.46	 0.08	-0.11	 0.06	0 	HD197912  	311.41564	+30.71972
 	HD197939  	M3III       	 3438	   7	 0.77	 0.14	-0.05	 0.05	0 	HD197939  	311.09188	+56.48840
O	HD197964  	K1IV        	 4762	  22	 2.96	 0.07	 0.09	 0.05	0 	HD197964  	311.66459	+16.12430
 	HD198001  	A1V         	 9320	 131	 3.81	 0.08	-0.31	 0.09	0 	HD198001  	311.91896	-09.49578
 	HD198084  	F8IV-V      	 6091	  32	 3.96	 0.06	 0.11	 0.04	0 	HD198084  	311.33803	+57.57973
 	HD198149  	K0IV        	 4962	  34	 3.12	 0.10	-0.28	 0.08	0 	HD198149  	311.32240	+61.83878
 	HD198183  	B5Ve        	15629	 315	 3.81	 0.10	-0.05	 0.09	0 	HD198183  	311.85224	+36.49072
 	HD198345  	K5III       	 4037	  16	 1.96	 0.13	-0.07	 0.06	0 	HD198345  	311.95536	+47.83187
 	HD198390  	F5V         	 6424	  32	 4.18	 0.04	-0.32	 0.05	0 	HD198390  	312.40737	+12.54513
 	HD199081  	B5V         	15703	 352	 3.80	 0.10	-0.11	 0.10	0 	HD199081  	313.31148	+44.38726
 	HD199191  	GIII+...    	 4813	  32	 2.77	 0.10	-0.61	 0.07	0 	HD199191  	313.32631	+54.51810
 	HD199253  	K0III       	 4669	  25	 2.21	 0.08	-0.14	 0.06	0 	HD199253  	313.90287	+13.72154
 	HD199478  	B8Iae       	15983	 788	 2.48	 0.11	-0.14	 0.17	0 	HD199478  	313.95751	+47.41766
 	HD199870  	K0IIIbCN... 	 4988	  33	 2.96	 0.08	 0.13	 0.07	0 	HD199870  	314.58110	+44.47171
 	HD199960  	G1V         	 5852	  32	 4.12	 0.06	 0.23	 0.05	0 	HD199960  	315.14100	-04.73026
 	HD200527  	M4s...      	 3365	   9	 0.52	 0.15	-0.07	 0.06	0 	HD200527  	315.60083	+44.79098
 	HD200790  	F8V         	 6145	  46	 3.99	 0.08	 0.02	 0.06	0 	HD200790  	316.36133	+05.95820
 	HD201099  	G0          	 5942	  41	 4.14	 0.08	-0.44	 0.07	0 	HD201099  	316.93266	-05.56589
 	HD201381  	G8III       	 5014	  31	 2.85	 0.08	-0.02	 0.07	0 	HD201381  	317.39853	-11.37169
 	HD201626  	G9p         	 4818	 111	 1.88	 0.39	-1.71	 0.27	0 	HD201626  	317.49697	+26.61526
 	HD201889  	G1V         	 5711	  49	 4.23	 0.10	-0.73	 0.10	0 	HD201889  	317.99801	+24.16817
 	HD201891  	F8V-VI      	 5818	  52	 4.13	 0.11	-1.05	 0.11	0 	HD201891  	317.99597	+17.72775
 	HD202259  	M1III       	 3748	   9	 1.39	 0.14	-0.10	 0.05	0 	HD202259  	318.65437	+00.09226
 	HD202573  	G5V:        	 4929	  37	 2.40	 0.11	-0.64	 0.09	0 	HD202573  	318.98822	+25.43384
 	HD202850  	B9Iab       	11839	 256	 2.05	 0.06	 0.15	 0.13	0 	HD202850  	319.35397	+39.39468
 	HD202904  	B2Vne       	16758	 637	 2.90	 0.10	-0.36	 0.16	0 	HD202904  	319.47948	+34.89690
 	HD203344  	K1III       	 4683	  27	 2.54	 0.09	-0.20	 0.06	0 	HD203344  	320.26831	+23.85597
 	HD203387  	G8III       	 5136	  34	 2.82	 0.09	-0.06	 0.07	0 	HD203387  	320.56165	-16.83454
 	HD203504  	K1III       	 4671	  24	 2.59	 0.08	 0.01	 0.05	0 	HD203504  	320.52166	+19.80451
 	HD203525  	M0III       	 3951	  14	 1.74	 0.14	-0.10	 0.06	0 	HD203525  	320.73440	-09.31933
 	HD204306  	F5          	 6050	  53	 4.12	 0.09	-0.58	 0.09	0 	HD204306  	321.60731	+43.11940
 	HD204363  	F7V         	 6220	  76	 4.29	 0.11	-0.34	 0.12	0 	HD204363  	322.05812	-11.56828
 	HD204445  	M1          	 3574	   6	 1.19	 0.12	 0.01	 0.04	0 	HD204445  	322.10349	+08.19564
 	HD204543  	G0          	 4612	  48	 1.20	 0.16	-1.93	 0.12	0 	HD204543  	322.36756	-03.51538
 	HD204613  	G1IIIa:     	 5734	  61	 3.85	 0.13	-0.35	 0.11	0 	HD204613  	321.92902	+57.32191
 	HD204642  	K2III       	 4664	  24	 2.94	 0.08	 0.03	 0.05	0 	HD204642  	322.31411	+28.58300
 	HD204771  	K0III       	 4966	  31	 2.92	 0.08	 0.06	 0.07	0 	HD204771  	322.36229	+46.54058
O	HD204867  	G0Ib        	 5705	  31	 1.06	 0.05	 0.03	 0.05	0 	HD204867  	322.88973	-05.57117
 	HD205021  	B2IIIevar   	24636	1275	 3.64	 0.10	-0.01	 0.05	0 	HD205021  	322.16499	+70.56072
 	HD205139  	B1II        	26810	2110	 3.98	 0.13	-0.12	 0.10	0 	HD205139  	322.74705	+60.45943
 	HD205435  	G8III       	 5088	  33	 2.90	 0.09	-0.16	 0.07	0 	HD205435  	323.49522	+45.59184
 	HD205512  	K1III       	 4696	  33	 2.52	 0.12	-0.03	 0.08	0 	HD205512  	323.69402	+38.53405
 	HD205637  	B3V:p       	19106	1130	 3.07	 0.13	-0.08	 0.14	0 	HD205637  	324.27013	-19.46601
 	HD206067  	K0III       	 4801	  28	 2.60	 0.08	-0.09	 0.06	0 	HD206067  	324.88861	+02.24356
 	HD206078  	G8III       	 4811	  30	 2.62	 0.10	-0.56	 0.07	0 	HD206078  	324.29343	+62.30424
O	HD206165  	B2Ib        	20569	    	 2.93	     	-0.28	     	3 	HD206165  	324.48010	+62.08194
 	HD206267  	O6e         	40926	 943	 3.87	 0.04	 0.11	 0.03	0 	HD206267  	324.74008	+57.48904
 	HD206453  	G8III       	 5033	  37	 2.48	 0.10	-0.43	 0.09	0 	HD206453  	325.66461	-18.86632
 	HD206632  	M4III:      	 3197	  10	 0.33	 0.18	-0.30	 0.11	0 	HD206632  	325.53481	+45.76570
 	HD206936  	M2Iae       	 3784	  16	 0.04	 0.11	 0.05	 0.07	0 	HD206936  	325.87692	+58.78005
 	HD206952  	K1III       	 4713	  29	 2.73	 0.09	 0.19	 0.06	0 	HD206952  	325.48039	+71.31142
 	HD207089  	K0Iab:      	 4437	  38	 1.11	 0.11	 0.03	 0.08	0 	HD207089  	326.51818	+22.94888
 	HD207130  	K1III       	 4795	  31	 2.71	 0.09	 0.11	 0.07	0 	HD207130  	325.76684	+72.32008
 	HD207134  	K3III:      	 4429	  24	 2.41	 0.12	-0.06	 0.07	0 	HD207134  	326.59979	+25.56350
 	HD207330  	B3III       	20662	 626	 3.78	 0.08	-0.02	 0.05	0 	HD207330  	326.69837	+49.30957
 	HD207516  	B8V         	11629	 228	 4.07	 0.08	 0.04	 0.12	0 	HD207516  	327.12233	+38.64857
 	HD207978  	F6IV-Vwvar  	 6316	  64	 4.16	 0.07	-0.56	 0.09	0 	HD207978  	328.12465	+28.79354
 	HD208110  	G0IIIs      	 5011	  47	 2.25	 0.14	-1.09	 0.12	0 	HD208110  	328.49069	+06.86480
 	HD208202  	K0III+...   	 5007	  31	 2.88	 0.08	-0.04	 0.07	0 	HD208202  	328.57257	+19.71812
 	HD208501  	B8Ib        	15827	 632	 2.60	 0.09	-0.11	 0.12	0 	HD208501  	328.72148	+56.61123
 	HD208906  	F8V-VI      	 6035	  52	 4.30	 0.08	-0.72	 0.10	0 	HD208906  	329.67014	+29.81263
 	HD208947  	B2V         	19417	 851	 3.83	 0.21	-0.04	 0.14	0 	HD208947  	329.29625	+66.15615
 	HD209409  	B7IVe       	12221	 289	 2.62	 0.08	-0.16	 0.15	0 	HD209409  	330.82852	-02.15536
 	HD209419  	B5III       	15357	 369	 3.73	 0.08	 0.06	 0.07	0 	HD209419  	330.46078	+52.88225
 	HD209819  	B8V         	11258	 226	 4.09	 0.08	-0.08	 0.12	0 	HD209819  	331.60929	-13.86968
 	HD210295  	G8/K0w...   	 4877	  55	 2.20	 0.19	-1.29	 0.14	0 	HD210295  	332.42269	-13.60541
 	HD210752  	G0          	 5943	  41	 4.29	 0.07	-0.63	 0.08	0 	HD210752  	333.18141	-06.46892
 	HD210807  	G7II-III    	 5104	  36	 2.46	 0.09	-0.11	 0.08	0 	HD210807  	332.45180	+72.34121
 	HD210839  	O6Iab:...   	38903	 866	 3.41	 0.05	 0.03	 0.06	0 	HD210839  	332.87740	+59.41449
 	HD210855  	F8V         	 6210	  43	 3.89	 0.08	 0.13	 0.06	0 	HD210855  	332.95320	+56.83936
 	HD210889  	K2III       	 4615	  25	 2.60	 0.09	 0.02	 0.05	0 	HD210889  	333.19927	+34.60459
 	HD210939  	K1III       	 4546	  25	 2.28	 0.09	-0.02	 0.06	0 	HD210939  	333.00840	+60.75909
 	HD211391  	G8III       	 5021	  32	 2.77	 0.08	 0.15	 0.07	0 	HD211391  	334.20848	-07.78329
 	HD212496  	G8.5IIIb    	 4761	  27	 2.57	 0.09	-0.35	 0.06	0 	HD212496  	335.89010	+52.22905
O	HD212571  	B1Ve        	23278	1230	 3.53	 0.10	-0.02	 0.08	0 	HD212571  	336.31926	+01.37740
 	HD212943  	K0III       	 4676	  25	 2.76	 0.08	-0.28	 0.05	0 	HD212943  	336.96468	+04.69566
 	HD212978  	B2V         	20855	 700	 3.81	 0.11	-0.03	 0.07	0 	HD212978  	336.86041	+39.81003
 	HD213660  	A6V         	 8118	 126	 3.86	 0.13	-0.15	 0.16	0 	HD213660  	338.10991	+39.77973
 	HD214376  	K2III       	 4646	  26	 2.63	 0.09	 0.12	 0.06	0 	HD214376  	339.43909	-04.22806
 	HD214567  	G8II        	 4987	  37	 2.63	 0.10	-0.26	 0.09	0 	HD214567  	339.71913	+19.52226
 	HD214923  	B8V         	11597	 185	 3.93	 0.10	 0.06	 0.10	0 	HD214923  	340.36550	+10.83136
 	HD215373  	K0III       	 5080	  32	 2.85	 0.08	 0.16	 0.07	0 	HD215373  	341.02283	+41.81923
 	HD215648  	F7V         	 6187	  42	 4.04	 0.07	-0.26	 0.06	0 	HD215648  	341.67325	+12.17289
 	HD215721  	G8III       	 4907	  42	 2.49	 0.13	-0.46	 0.10	0 	HD215721  	341.88802	-19.61337
 	HD216131  	G8III       	 5022	  24	 2.76	 0.06	-0.09	 0.05	0 	HD216131  	342.50080	+24.60158
 	HD216143  	G5          	 4606	  48	 1.21	 0.16	-2.09	 0.11	0 	HD216143  	342.62954	-06.91376
 	HD216174  	K1III       	 4390	  24	 1.99	 0.11	-0.51	 0.07	0 	HD216174  	342.44298	+55.90278
 	HD216219  	G0IIp       	 5755	  50	 3.29	 0.11	-0.28	 0.09	0 	HD216219  	342.71730	+18.00211
 	HD216228  	K0III       	 4795	  28	 2.58	 0.08	-0.02	 0.06	0 	HD216228  	342.42007	+66.20041
 	HD216385  	F7IV        	 6266	  95	 4.08	 0.15	-0.18	 0.13	0 	HD216385  	343.10031	+09.83566
 	HD216640  	K1III       	 4628	  25	 3.17	 0.08	 0.16	 0.05	0 	HD216640  	343.68945	-16.27196
 	HD217014  	G2.5IVa     	 5756	  36	 4.23	 0.07	 0.20	 0.05	0 	HD217014  	344.36659	+20.76883
 	HD217675  	B6IIIpe+... 	14491	 435	 2.95	 0.10	 0.03	 0.14	0 	HD217675  	345.48027	+42.32598
 	HD217906  	M2.5II-III  	 3455	   6	 1.03	 0.12	-0.16	 0.05	0 	HD217906  	345.94357	+28.08279
 	HD218029  	K3III       	 4437	  22	 2.34	 0.09	 0.18	 0.05	0 	HD218029  	345.88701	+67.20921
 	HD218031  	K0IIIb      	 4758	  31	 2.50	 0.10	-0.16	 0.07	0 	HD218031  	346.04576	+50.05209
 	HD218101  	G8IV        	 5220	  37	 3.76	 0.08	 0.10	 0.07	0 	HD218101  	346.27618	+16.56284
 	HD218470  	F5V         	 6497	  49	 4.12	 0.06	-0.13	 0.06	0 	HD218470  	346.93910	+49.29578
 	HD218502  	F3:w        	 6137	  48	 4.05	 0.07	-1.85	 0.13	0 	HD218502  	347.16405	-15.05332
 	HD218504  	G1/G2w...   	 5965	  53	 4.21	 0.09	-0.58	 0.10	0 	HD218504  	347.17880	-18.75195
 	HD218857  	G6w         	 5055	  75	 2.39	 0.23	-1.92	 0.17	0 	HD218857  	347.85248	-16.25112
 	HD218935  	G8III-IV    	 4924	  29	 2.99	 0.08	-0.16	 0.06	0 	HD218935  	347.95496	+26.84731
O	HD219134  	K3V         	 4700	  30	 4.58	 0.07	 0.02	 0.06	0 	HD219134  	348.32073	+57.16835
 	HD219449  	K0III       	 4690	  25	 2.59	 0.08	 0.00	 0.05	0 	HD219449  	348.97289	-09.08774
 	HD219615  	G9III:      	 4886	  32	 2.45	 0.10	-0.58	 0.08	0 	HD219615  	349.29141	+03.28229
 	HD219945  	K0III       	 4845	  31	 2.55	 0.09	-0.15	 0.07	0 	HD219945  	349.87420	+48.62532
 	HD219962  	K1III       	 4656	  25	 2.56	 0.08	-0.04	 0.06	0 	HD219962  	349.92315	+48.38094
 	HD220009  	K2III       	 4334	  23	 2.04	 0.12	-0.69	 0.07	0 	HD220009  	350.08576	+05.38131
O	HD220117  	F5V         	 6428	  44	 4.02	 0.07	 0.03	 0.05	0 	HD220117  	350.22194	+38.18233
 	HD220575  	B8III       	13014	 289	 3.21	 0.12	 0.11	 0.14	0 	HD220575  	351.14546	+41.11291
O	HD220825  	A0p...      	10375	 161	 3.78	 0.14	 0.74	 0.09	0 	HD220825  	351.73315	+01.25561
 	HD220954  	K1III       	 4759	  28	 2.63	 0.09	 0.07	 0.06	0 	HD220954  	351.99206	+06.37899
 	HD221115  	G7III       	 5045	  29	 2.83	 0.07	 0.06	 0.06	0 	HD221115  	352.28873	+12.76055
 	HD221148  	K3IIIvar    	 4635	  31	 3.32	 0.09	 0.34	 0.06	0 	HD221148  	352.38367	-04.53275
 	HD221170  	G2IV        	 4582	  46	 1.21	 0.16	-2.03	 0.11	0 	HD221170  	352.37004	+30.43273
 	HD221345  	G8III       	 4696	  27	 2.49	 0.09	-0.30	 0.06	0 	HD221345  	352.82256	+39.23620
 	HD221615  	M5III       	 3234	   8	 0.44	 0.15	-0.22	 0.08	0 	HD221615  	353.36706	+22.49877
 	HD221830  	F9V         	 5676	  51	 4.09	 0.10	-0.46	 0.09	0 	HD221830  	353.87039	+31.01717
 	HD221861  	G9Ib        	 4605	  41	 0.96	 0.07	 0.08	 0.08	0 	HD221861  	353.74600	+71.64204
 	HD222107  	G8III       	 4679	  24	 2.86	 0.08	-0.48	 0.05	0 	HD222107  	354.39101	+46.45815
 	HD222368  	F7V         	 6200	  42	 4.12	 0.07	-0.12	 0.06	0 	HD222368  	354.98767	+05.62629
 	HD222404  	K1IV        	 4782	  31	 3.25	 0.09	 0.08	 0.06	0 	HD222404  	354.83687	+77.63228
 	HD222439  	B9IVn       	10733	 247	 3.87	 0.13	-0.32	 0.15	0 	HD222439  	355.10212	+44.33393
 	HD222574  	G2Ib/II     	 5536	  34	 1.69	 0.07	 0.03	 0.07	0 	HD222574  	355.44086	-17.81653
 	HD223047  	G5Ib+...    	 5015	  35	 1.32	 0.06	 0.04	 0.07	0 	HD223047  	356.50853	+46.42028
 	HD223075  	CII...      	 3867	  90	 1.03	 0.80	-0.01	 0.33	0 	HD223075  	356.59799	+03.48681
 	HD223165  	K1III       	 4728	  29	 2.50	 0.09	 0.06	 0.06	0 	HD223165  	356.76439	+58.65199
 	HD223252  	G8III       	 5034	  35	 2.76	 0.09	-0.05	 0.08	0 	HD223252  	356.98560	-02.76160
 	HD223385  	A3Iae       	10142	 200	 1.41	 0.07	 0.46	 0.14	0 	HD223385  	357.20905	+62.21452
 	HD223460  	G1IIIe      	 5383	  42	 2.92	 0.10	-0.17	 0.09	0 	HD223460  	357.42067	+36.42528
 	HD223869  	K1III       	 4868	  30	 3.31	 0.08	-0.07	 0.06	0 	HD223869  	358.28053	+25.99870
 	HD224458  	G8III       	 4829	  49	 2.39	 0.12	-0.45	 0.11	0 	HD224458  	359.52604	+29.97664
 	HD224533  	G9III       	 5054	  32	 2.78	 0.08	-0.04	 0.07	0 	HD224533  	359.66824	-03.55598
 	HD224801  	B9p...      	12783	 169	 4.19	 0.08	 0.98	 0.07	0 	HD224801  	000.18181	+45.25333
 	HD224926  	B7III-IV    	13068	 224	 4.13	 0.08	 0.37	 0.09	0 	HD224926  	000.45603	-03.02750
O	HD224930  	G5Vb        	 5427	  39	 4.34	 0.08	-0.80	 0.09	0 	HD224930  	000.54231	+27.08226
 	HD225132  	B9IVn       	10797	 449	 4.24	 0.14	 0.00	 0.24	0 	HD225132  	000.93496	-17.33599
 	HD225180  	A1III       	 9561	 235	 2.73	 0.09	-0.47	 0.17	0 	HD225180  	001.05693	+62.28766
 	HD225212  	K3Iab:      	 4183	  23	 0.81	 0.09	 0.22	 0.05	0 	HD225212  	001.12549	-10.50952
 	HD225239  	G2V         	 5652	  50	 3.84	 0.11	-0.47	 0.09	0 	HD225239  	001.22400	+34.65980
 	HD232078  	K3IIp       	 4028	  15	 0.53	 0.08	-1.21	 0.06	0 	HD232078  	294.55029	+16.80713
 	HD233891  	G5IIIw      	 4772	  45	 1.55	 0.15	-1.56	 0.12	0 	HD233891  	179.99607	+51.77156
 	HD237846  	F8          	 4987	  64	 2.12	 0.19	-2.55	 0.13	0 	HD237846  	148.16118	+57.91628
 	HD237903  	K7V         	 4068	  14	 4.71	 0.05	-0.35	 0.06	0 	HD237903  	157.60546	+55.99912
 	HD338529  	B5          	 6174	  32	 3.93	 0.05	-2.15	 0.08	0 	HD338529  	293.13296	+26.39059
 	BD+01_2916	K0          	 4312	  26	 0.66	 0.09	-1.91	 0.06	0 	BD+01 2916	215.43859	+00.78310
 	BD+04_4551	F7Vw        	 5986	  58	 4.16	 0.09	-1.28	 0.13	0 	BD+04 4551	312.21134	+05.19966
