Miles,Name,Teff,[Fe/H],logg
632,HD 157919,6826,0.29,3.61
633,BD+23 3130,5017,-2.45,2.31
634,HD 159332,6298,-0.1,4.01
635,HD 159307,6395,-0.54,4.19
636,HD 159482,5740,-0.75,4.11
637,HD 160933,5770,-0.31,3.79
638,HD 160762,17678,0.02,3.69
639,HD 160693,5691,-0.56,4.07
640,HD 161074,3982,-0.08,2.04
641,HD 161149,7015,0.33,3.7
642,HD 161096,4594,0.27,2.72
643,HD 161796,7000,-0.3,0.44
644,HD 161227,7320,0.38,3.72
645,HD 161695,11506,0.11,2.23
646,HD 161797,5454,0.22,3.82
647,HD 161817,7200,-1.48,3.05
648,HD 162211,4539,0.04,2.56
649,BD+20 3603,6115,-2.1,4.1
650,HD 164058,3990,0.11,1.64
651,HD 163990,3203,-0.1,0.34
652,HD 163993,5091,0.09,2.87
653,HD 164136,7140,0.0,3.87
654,HD 164349,4623,-0.01,1.76
655,HD 164353,15600,-0.03,2.55
656,HD 164432,21371,-0.02,3.81
657,HD 165195,4401,-2.19,0.86
658,HD 164975,5863,0.06,1.22
659,HD 165341,5349,0.16,4.58
660,HD 165438,4868,0.02,3.43
661,HD 165908,6045,-0.5,4.19
662,HD 166208,5107,0.15,2.73
663,HD 165634,4907,-0.14,2.31
664,HD 166620,4968,-0.18,4.55
665,HD 166161,5201,-1.25,2.33
666,HD 166285,6389,-0.06,4.1
667,HD 166460,4540,0.05,2.29
668,HD 167105,9000,-1.5,2.36
669,HD 167006,3535,-0.08,0.99
670,HD 167768,4953,-0.69,2.29
671,HD 169027,11030,-0.08,3.89
672,HD 168322,4780,-0.45,2.39
673,HD 167665,6125,-0.16,4.15
674,HD 168720,3797,-0.05,1.57
675,HD 168723,4923,-0.22,3.0
676,HD 168608,5580,0.03,1.0
677,HD 170693,4447,-0.37,2.19
678,HD 169985,6249,0.36,3.84
679,HD 170737,5093,-0.77,3.36
680,HD 234677,4226,-0.07,4.3
681,HD 171391,5150,0.04,2.89
682,HD 171443,4263,0.01,2.21
683,HD 171496,4978,-0.69,2.29
